Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Nevada(3200000),        1350,         5.5,       40.75,       84750,         1.4,       30.22,       32.48,       38.25,       48.56,       53.34,       62860,       67560,       79560,      101000,      110940,       0.911,        1.07
New Hampshire(3300000),         430,         5.7,       39.96,       83110,         0.6,       32.78,       36.96,       39.84,       42.99,       46.60,       68180,       76870,       82860,       89420,       96920,       0.635,        0.74
New Jersey(3400000),        3300,         5.6,       44.40,       92350,         1.6,       35.01,       39.63,       45.30,       49.33,       54.32,       72810,       82440,       94220,      102610,      112990,       0.786,        0.92
New Mexico(3500000),         640,         5.5,       32.94,       68520,         1.1,       28.15,       30.13,       31.05,       36.22,       38.95,       58540,       62670,       64580,       75340,       81020,       0.756,        0.89
New York(3600000),        6540,         2.2,       47.49,       98770,         1.1,       34.20,       40.06,       47.42,       50.69,       57.61,       71140,       83330,       98640,      105440,      119820,       0.697,        0.82
North Carolina(3700000),        4070,         1.9,       34.91,       72600,         0.5,       26.81,       30.15,       33.21,       38.33,       41.12,       55760,       62720,       69070,       79720,       85530,       0.848,        0.99
North Dakota(3800000),         280,         6.8,       35.62,       74090,         2.9,       26.76,       29.49,       31.76,       36.64,       41.10,       55670,       61340,       66070,       76200,       85480,       0.665,        0.78
Ohio(3900000),        5920,         2.4,       36.13,       75150,         1.2,       28.75,       31.51,       37.11,       38.83,       44.97,       59800,       65540,       77180,       80760,       93530,       1.083,        1.27
Oklahoma(4000000),        1740,         2.2,       34.24,       71210,         0.5,       26.03,       29.94,       32.72,       37.71,       42.08,       54140,       62280,       68050,       78440,       87520,       1.047,        1.23
Oregon(4100000),        1250,         1.5,       42.87,       89170,         0.3,       36.00,       38.03,       42.35,       46.86,       49.65,       74880,       79110,       88080,       97460,      103270,       0.644,        0.75
Pennsylvania(4200000),        5460,         4.1,       36.02,       74930,         0.5,       28.49,       30.61,       36.91,       39.78,       44.73,       59260,       63670,       76760,       82740,       93050,       0.918,        1.07
Puerto Rico(7200000),         830,        20.6,       14.33,       29810,         2.8,       10.22,       11.97,       14.86,       15.62,       17.12,       21260,       24900,       30910,       32490,       35610,       0.896,        1.05
Rhode Island(4400000),         250,         4.3,       38.30,       79660,         0.7,       30.84,       32.92,       38.41,       41.87,       46.36,       64150,       68470,       79880,       87090,       96430,       0.503,        0.59
South Carolina(4500000),        1910,         2.3,       34.15,       71030,         0.4,       29.18,       30.33,       34.86,       37.43,       38.54,       60690,       63090,       72500,       77860,       80170,       0.857,        1.00
South Dakota(4600000),         340,         0.6,       29.40,       61160,         0.3,       23.73,       23.73,       30.77,       32.89,       38.92,       49350,       49350,       64000,       68400,       80940,       0.755,        0.88
Tennessee(4700000),        3260,         2.8,       31.26,       65020,         0.6,       23.96,       27.58,       30.41,       35.40,       37.34,       49830,       57370,       63250,       73630,       77670,       1.012,        1.18
Texas(4800000),       11580,         2.2,       37.56,       78130,         0.9,       29.69,       31.25,       36.75,       39.47,       44.69,       61750,       64990,       76450,       82090,       92960,       0.854,        1.00
Utah(4900000),        1030,         2.4,       36.24,       75390,         1.3,       29.55,       31.65,       34.23,       40.00,       42.58,       61450,       65830,       71200,       83200,       88570,       0.616,        0.72
Vermont(5000000),         190,         2.9,       36.78,       76510,         1.2,       29.23,       31.50,       37.55,       41.01,       44.78,       60800,       65510,       78100,       85300,       93150,       0.632,        0.74
Virginia(5100000),        2620,         3.5,       36.73,       76390,         0.5,       28.58,       31.72,       36.65,       40.03,       46.68,       59440,       65980,       76230,       83260,       97090,       0.657,        0.77
Washington(5300000),        2040,         4.1,       45.11,       93820,         1.5,       35.96,       39.53,       42.90,       49.78,       55.67,       74790,       82230,       89230,      103550,      115790,       0.584,        0.68
West Virginia(5400000),        1090,         1.5,       31.25,       65000,         0.5,       23.77,       27.68,       30.22,       36.15,       39.13,       49440,       57580,       62860,       75200,       81400,       1.576,        1.84
Wisconsin(5500000),        1970,         3.3,       38.03,       79110,         0.7,       30.75,       32.32,       38.25,       40.79,       44.86,       63950,       67230,       79560,       84850,       93300,       0.683,        0.80
Wyoming(5600000),         200,         6.0,       33.15,       68940,         1.6,       23.59,       28.70,       32.90,       37.33,       40.56,       49060,       59690,       68430,       77640,       84360,       0.728,        0.85
