Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Kentucky(2100000),       48710,         1.4,       39.31,       81770,         0.6,       29.58,       32.44,       37.42,       44.47,       48.93,       61520,       67480,       77830,       92500,      101770,      24.815,        1.19
Louisiana(2200000),       36840,         1.7,       38.83,       80760,         0.8,       29.19,       31.40,       36.85,       42.03,       48.87,       60720,       65310,       76650,       87420,      101650,      19.892,        0.95
Maine(2300000),       14770,         1.8,       40.55,       84340,         0.9,       31.06,       34.10,       39.24,       45.11,       51.56,       64600,       70930,       81610,       93840,      107240,      23.754,        1.14
Maryland(2400000),       49770,         1.8,       44.27,       92090,         0.5,       32.15,       37.80,       42.95,       48.97,       55.02,       66880,       78610,       89340,      101860,      114440,      18.587,        0.89
Massachusetts(2500000),       87320,         1.4,       52.33,      108850,         0.5,       35.58,       39.53,       47.95,       63.52,       79.85,       74010,       82230,       99730,      132120,      166100,      23.965,        1.15
Michigan(2600000),      102240,         0.9,       41.45,       86210,         0.4,       32.43,       37.02,       39.28,       46.96,       48.85,       67450,       77000,       81710,       97670,      101610,      23.515,        1.12
Minnesota(2700000),       66700,         1.1,       45.59,       94830,         0.6,       35.12,       38.96,       46.78,       50.22,       57.89,       73050,       81040,       97300,      104450,      120420,      23.149,        1.11
Mississippi(2800000),       28910,         2.4,       36.30,       75510,         1.1,       26.24,       29.80,       33.35,       38.65,       48.15,       54580,       61980,       69370,       80400,      100160,      25.136,        1.20
Missouri(2900000),       73190,         1.3,       37.30,       77590,         0.4,       27.25,       30.81,       37.11,       40.76,       47.75,       56690,       64090,       77190,       84770,       99330,      25.446,        1.22
Montana(3000000),        9740,         1.7,       39.88,       82950,         0.5,       31.02,       33.54,       38.06,       44.80,       50.47,       64530,       69770,       79170,       93180,      104970,      19.413,        0.93
Nebraska(3100000),       22870,         1.4,       38.36,       79780,         0.4,       29.70,       33.81,       37.55,       41.14,       47.80,       61770,       70330,       78100,       85580,       99410,      22.855,        1.09
Nevada(3200000),       25890,         1.7,       46.97,       97700,         0.6,       37.10,       38.76,       46.25,       51.42,       63.47,       77160,       80630,       96210,      106940,      132010,      17.469,        0.84
New Hampshire(3300000),       14380,         7.1,       42.98,       89410,         1.1,       32.03,       37.31,       41.65,       48.76,       52.85,       66620,       77600,       86620,      101410,      109930,      21.295,        1.02
New Jersey(3400000),       82950,         1.3,       49.02,      101960,         0.5,       37.36,       42.00,       48.15,       54.63,       61.42,       77700,       87360,      100160,      113630,      127750,      19.740,        0.94
New Mexico(3500000),       18030,         2.5,       44.30,       92140,         1.0,       32.75,       38.39,       40.37,       49.67,       60.00,       68120,       79850,       83970,      103320,      124800,      21.318,        1.02
New York(3600000),      188060,         1.0,       51.26,      106620,         0.6,       33.39,       40.70,       50.28,       60.62,       65.76,       69450,       84660,      104570,      126080,      136780,      20.022,        0.96
North Carolina(3700000),      104380,         0.7,       39.68,       82530,         0.4,       30.28,       33.08,       38.26,       45.00,       50.09,       62980,       68800,       79580,       93590,      104190,      21.768,        1.04
North Dakota(3800000),       10350,         1.9,       38.07,       79190,         0.9,       30.73,       33.10,       36.03,       39.68,       46.00,       63920,       68840,       74930,       82520,       95680,      24.782,        1.19
Ohio(3900000),      133300,         0.8,       40.59,       84430,         0.6,       31.00,       35.58,       38.44,       45.40,       50.66,       64480,       74000,       79940,       94430,      105380,      24.372,        1.17
Oklahoma(4000000),       32610,         1.6,       39.48,       82110,         0.6,       29.50,       32.43,       37.87,       42.99,       48.74,       61360,       67460,       78760,       89410,      101390,      19.592,        0.94
Oregon(4100000),       38770,         1.9,       54.54,      113440,         0.9,       41.70,       47.88,       53.34,       60.45,       65.84,       86730,       99590,      110940,      125730,      136950,      19.951,        0.95
Pennsylvania(4200000),      144100,         0.8,       42.08,       87530,         0.3,       31.16,       36.69,       39.80,       48.38,       52.76,       64820,       76320,       82780,      100620,      109740,      24.224,        1.16
Puerto Rico(7200000),       22860,         1.3,       18.81,       39130,         0.5,       13.83,       15.44,       17.51,       20.00,       24.29,       28770,       32110,       36420,       41600,       50530,      24.629,        1.18
Rhode Island(4400000),       11350,         2.2,       45.71,       95070,         0.8,       33.34,       38.83,       45.60,       52.05,       56.02,       69350,       80770,       94840,      108260,      116510,      23.238,        1.11
South Carolina(4500000),       48790,         1.3,       39.13,       81390,         0.5,       29.22,       32.43,       37.68,       42.11,       47.59,       60780,       67440,       78380,       87590,       98980,      21.946,        1.05
South Dakota(4600000),       14600,         1.4,       33.19,       69030,         0.5,       26.34,       27.45,       32.23,       38.20,       41.06,       54780,       57100,       67030,       79450,       85400,      32.847,        1.57
Tennessee(4700000),       63460,         1.3,       37.61,       78240,         0.4,       26.69,       30.87,       36.64,       39.77,       47.16,       55510,       64210,       76200,       82730,       98090,      19.714,        0.94
Texas(4800000),      251840,         1.0,       43.37,       90210,         0.6,       31.05,       36.65,       40.92,       48.65,       55.65,       64580,       76240,       85110,      101180,      115740,      18.575,        0.89
Utah(4900000),       24730,         1.6,       39.95,       83100,         0.8,       31.23,       32.90,       38.36,       44.71,       49.04,       64950,       68430,       79790,       93000,      102000,      14.731,        0.70
Vermont(5000000),        7260,         2.0,       42.49,       88380,         1.2,       31.44,       37.14,       39.37,       48.38,       53.21,       65390,       77240,       81900,      100630,      110680,      24.146,        1.15
Virgin Islands(7800000),         380,         9.2,       33.85,       70410,         1.8,       21.66,       28.84,       33.20,       40.51,       42.12,       45050,       59990,       69050,       84270,       87610,      11.168,        0.53
Virginia(5100000),       70650,         1.2,       42.48,       88350,         0.4,       30.63,       36.68,       40.43,       47.66,       55.35,       63710,       76300,       84100,       99140,      115120,      17.747,        0.85
Washington(5300000),       65030,         1.2,       53.38,      111030,         0.4,       39.73,       44.29,       51.79,       61.61,       67.01,       82630,       92130,      107720,      128140,      139390,      18.603,        0.89
West Virginia(5400000),       20860,         1.5,       36.53,       75990,         0.8,       24.35,       30.83,       37.85,       40.35,       47.81,       50650,       64130,       78730,       83920,       99440,      30.294,        1.45
Wisconsin(5500000),       61870,         1.4,       41.93,       87220,         0.4,       33.29,       37.26,       40.05,       47.39,       50.54,       69240,       77500,       83300,       98580,      105110,      21.438,        1.03
Wyoming(5600000),        5350,         2.3,       40.38,       83990,         1.4,       30.00,       33.50,       38.45,       43.49,       50.86,       62400,       69670,       79970,       90460,      105800,      19.539,        0.93
