"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date","IPFQR-HCP COVID-19 Measure Description","IPFQR-HCP COVID-19 %","IPFQR-HCP COVID-19 Denominator","IPFQR-HCP COVID-19 Footnote","IPFQR-HCP COVID-19 Start Date","IPFQR-HCP COVID-19 End Date"
154009,HAMILTON CENTER INC,620 8TH AVE,TERRE HAUTE,IN,47804,VIGO,Hours of physical-restraint use,Not Available,Not Available,Not Available,5,Hours of seclusion use,Not Available,Not Available,Not Available,5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,5,Screening for metabolic disorders (SMD),Not Available,Not Available,5,Alcohol use brief intervention provided or offered,Not Available,Not Available,5,Not Available,Not Available,5,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,5,Not Available,Not Available,5,Tobacco use treatment provided or offered,Not Available,Not Available,5,Not Available,Not Available,5,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,5,Not Available,Not Available,5,Transition record with specified elements received by discharged patients (TR1),Not Available,Not Available,5,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,43.9,57,,12.3,57,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,71.9,96,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,107,25.7,19.8,32.3,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,5,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),1.3,614,,10/01/2023,12/31/2023
154011,COMMUNITY MENTAL HEALTH CENTER INC,285 BIELBY RD,LAWRENCEBURG,IN,47025,DEARBORN,Hours of physical-restraint use,0.08,4.62,2333,,Hours of seclusion use,0.14,7.73,2333,,Patients discharged on multiple antipsychotic medications with appropriate justification,42,26,,Screening for metabolic disorders (SMD),7,142,,Alcohol use brief intervention provided or offered,13,287,,54,65,,Alcohol and other drug use disorder treatment provided or offered at discharge,72,119,,72,119,,Tobacco use treatment provided or offered,48,231,,46,225,,Tobacco use treatment provided or offered at discharge,6,220,,0,220,,Transition record with specified elements received by discharged patients (TR1),16,416,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,73,37,,32.4,37,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,80,19.7,14.4,26.4,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),76,244,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0.9,286,,10/01/2023,12/31/2023
154014,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,9 PEQUIGNOT DR,PIERCETON,IN,46562,KOSCIUSKO,Hours of physical-restraint use,0.01,0.78,3453,,Hours of seclusion use,0.12,10.25,3453,,Patients discharged on multiple antipsychotic medications with appropriate justification,6,31,,Screening for metabolic disorders (SMD),100,245,,Alcohol use brief intervention provided or offered,96,48,,100,46,,Alcohol and other drug use disorder treatment provided or offered at discharge,16,183,,15,183,,Tobacco use treatment provided or offered,89,314,,17,300,,Tobacco use treatment provided or offered at discharge,35,298,,2,298,,Transition record with specified elements received by discharged patients (TR1),97,584,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70,60,,46.7,60,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,89.1,138,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,152,24.1,19.1,29.8,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),63,302,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),1.7,63,,10/01/2023,12/31/2023
154018,RICHMOND STATE HOSPITAL,498 NW 18TH ST,RICHMOND,IN,47374,WAYNE,Hours of physical-restraint use,0.40,85.68,8945,,Hours of seclusion use,0.00,0.2,8945,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,18,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),0,23,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,1,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),Not Available,Not Available,5,10/01/2023,12/31/2023
154019,MADISON STATE HOSPITAL,711 GREEN RD,MADISON,IN,47250,JEFFERSON,Hours of physical-restraint use,0.27,228.63,34802,,Hours of seclusion use,0.18,150.43,34802,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,26,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),100,51,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),43,14,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,308,,10/01/2023,12/31/2023
154020,REGIONAL MENTAL HEALTH CENTER,8555 TAFT ST,MERRILLVILLE,IN,46410,LAKE,Hours of physical-restraint use,Not Available,Not Available,Not Available,5,Hours of seclusion use,Not Available,Not Available,Not Available,5,Patients discharged on multiple antipsychotic medications with appropriate justification,3,32,,Screening for metabolic disorders (SMD),32,37,,Alcohol use brief intervention provided or offered,100,23,,91,23,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,1,67,,0,67,,Tobacco use treatment provided or offered at discharge,0,67,,0,67,,Transition record with specified elements received by discharged patients (TR1),0,86,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,78.3,23,,56.5,23,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,55,18.6,13.6,25.1,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),100,12,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),65.8,38,,10/01/2023,12/31/2023
154021,"GRANT-BLACKFORD MENTAL HEALTH, INC",505 WABASH AVE,MARION,IN,46952,GRANT,Hours of physical-restraint use,0.19,8.33,1816,,Hours of seclusion use,0.86,37.42,1816,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),Not Available,Not Available,1,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,45,20,,45,20,,Tobacco use treatment provided or offered,20,65,,28,47,,Tobacco use treatment provided or offered at discharge,0,47,,0,47,,Transition record with specified elements received by discharged patients (TR1),0,103,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.1,29,,37.9,29,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,94,18.5,13.9,24.3,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),89,340,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),30.6,33,,10/01/2023,12/31/2023
154024,VALLE VISTA HEALTH SYSTEM,898 E MAIN ST,GREENWOOD,IN,46143,JOHNSON,Hours of physical-restraint use,0.06,35.03,23561,,Hours of seclusion use,0.00,1.05,23561,,Patients discharged on multiple antipsychotic medications with appropriate justification,78,45,,Screening for metabolic disorders (SMD),72,580,,Alcohol use brief intervention provided or offered,68,173,,75,156,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,314,,94,314,,Tobacco use treatment provided or offered,91,380,,68,377,,Tobacco use treatment provided or offered at discharge,74,317,,40,317,,Transition record with specified elements received by discharged patients (TR1),87,803,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59,83,,25.3,83,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,80.1,146,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,214,23.2,19.1,27.9,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),68,382,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,271,,10/01/2023,12/31/2023
154031,OAKLAWN PSYCHIATRIC CENTER INC,330 LAKEVIEW DR,GOSHEN,IN,46527,ELKHART,Hours of physical-restraint use,0.03,1.85,2652,,Hours of seclusion use,0.16,10.27,2652,,Patients discharged on multiple antipsychotic medications with appropriate justification,87,39,,Screening for metabolic disorders (SMD),99,173,,Alcohol use brief intervention provided or offered,45,89,,70,43,,Alcohol and other drug use disorder treatment provided or offered at discharge,77,95,,17,95,,Tobacco use treatment provided or offered,91,203,,12,203,,Tobacco use treatment provided or offered at discharge,2,198,,1,198,,Transition record with specified elements received by discharged patients (TR1),80,347,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,77.8,36,,33.3,36,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,95,19.2,14.4,25.2,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),81,243,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),7.2,51,,10/01/2023,12/31/2023
154035,FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN,46947,CASS,Hours of physical-restraint use,0.00,0,809,,Hours of seclusion use,0.00,0,809,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),31,108,,Alcohol use brief intervention provided or offered,16,98,,19,84,,Alcohol and other drug use disorder treatment provided or offered at discharge,19,236,,18,236,,Tobacco use treatment provided or offered,56,287,,58,276,,Tobacco use treatment provided or offered at discharge,0,270,,0,270,,Transition record with specified elements received by discharged patients (TR1),0,466,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,71.8,39,,41,39,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,81.7,115,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,114,24.8,19.3,31.1,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),0,200,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),6.5,31,,10/01/2023,12/31/2023
154041,BLOOMINGTON MEADOWS HOSPITAL,3600 N PROW RD,BLOOMINGTON,IN,47404,MONROE,Hours of physical-restraint use,0.23,83.92,14896,,Hours of seclusion use,0.00,0.87,14896,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),46,503,,Alcohol use brief intervention provided or offered,74,68,,63,63,,Alcohol and other drug use disorder treatment provided or offered at discharge,67,101,,58,101,,Tobacco use treatment provided or offered,63,151,,17,134,,Tobacco use treatment provided or offered at discharge,49,124,,12,124,,Transition record with specified elements received by discharged patients (TR1),34,728,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.9,58,,32.8,58,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,70.2,94,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,125,22.6,18.0,27.8,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),1,378,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,157,,10/01/2023,12/31/2023
154047,MICHIANA BEHAVIORAL HEALTH CENTER,1800 N OAK RD,PLYMOUTH,IN,46563,MARSHALL,Hours of physical-restraint use,0.10,25.55,10616,,Hours of seclusion use,0.00,0.52,10616,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),97,409,,Alcohol use brief intervention provided or offered,96,114,,95,110,,Alcohol and other drug use disorder treatment provided or offered at discharge,75,118,,71,118,,Tobacco use treatment provided or offered,99,149,,63,147,,Tobacco use treatment provided or offered at discharge,97,139,,24,139,,Transition record with specified elements received by discharged patients (TR1),100,729,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,78.6,14,,50,14,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,39,19.3,13.8,26.5,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),94,366,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,126,,10/01/2023,12/31/2023
154050,NORTHEASTERN CENTER,1850 WESLEY RD,AUBURN,IN,46706,DE KALB,Hours of physical-restraint use,0.01,0.57,2838,,Hours of seclusion use,0.03,1.88,2838,,Patients discharged on multiple antipsychotic medications with appropriate justification,81,73,,Screening for metabolic disorders (SMD),15,247,,Alcohol use brief intervention provided or offered,23,282,,100,64,,Alcohol and other drug use disorder treatment provided or offered at discharge,73,163,,73,163,,Tobacco use treatment provided or offered,72,285,,83,230,,Tobacco use treatment provided or offered at discharge,1,197,,1,197,,Transition record with specified elements received by discharged patients (TR1),90,417,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,76.1,46,,43.5,46,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,87.5,96,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,104,20.1,15.2,26.1,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),13,111,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,42,,10/01/2023,12/31/2023
154051,WELLSTONE REGIONAL HOSPITAL,2700 VISSING PARK RD,JEFFERSONVILLE,IN,47130,CLARK,Hours of physical-restraint use,0.16,90.17,23275,,Hours of seclusion use,0.00,0,23275,,Patients discharged on multiple antipsychotic medications with appropriate justification,87,45,,Screening for metabolic disorders (SMD),90,630,,Alcohol use brief intervention provided or offered,91,53,,74,53,,Alcohol and other drug use disorder treatment provided or offered at discharge,74,96,,71,96,,Tobacco use treatment provided or offered,95,131,,67,127,,Tobacco use treatment provided or offered at discharge,59,105,,19,105,,Transition record with specified elements received by discharged patients (TR1),95,732,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70,130,,39.2,130,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,80,215,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,356,20,16.7,24.1,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),83,354,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),20.5,305,,10/01/2023,12/31/2023
154052,PORTER-STARKE SERVICES INC,701 WALL ST,VALPARAISO,IN,46383,PORTER,Hours of physical-restraint use,0.45,19.32,1774,,Hours of seclusion use,0.37,15.68,1774,,Patients discharged on multiple antipsychotic medications with appropriate justification,1,144,,Screening for metabolic disorders (SMD),100,107,,Alcohol use brief intervention provided or offered,25,112,,100,28,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,50,271,,2,242,,Tobacco use treatment provided or offered at discharge,0,235,,0,235,,Transition record with specified elements received by discharged patients (TR1),62,389,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,90.9,33,,87.9,33,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,78.8,80,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,90,23.1,17.5,29.8,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),91,129,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),92.6,58,,10/01/2023,12/31/2023
154054,HARSHA BEHAVIORAL CENTER INC,1980 E WOODSMALL DR,TERRE HAUTE,IN,47802,VIGO,Hours of physical-restraint use,1.78,605.08,14128,,Hours of seclusion use,0.47,158.37,14128,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,30,,Screening for metabolic disorders (SMD),52,850,,Alcohol use brief intervention provided or offered,50,126,,95,64,,Alcohol and other drug use disorder treatment provided or offered at discharge,10,143,,10,143,,Tobacco use treatment provided or offered,58,361,,54,308,,Tobacco use treatment provided or offered at discharge,1,293,,0,293,,Transition record with specified elements received by discharged patients (TR1),72,2380,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,50.4,139,,16.5,139,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,80.8,125,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,365,23.9,19.9,28.2,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),100,1243,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),0,229,,10/01/2023,12/31/2023
154055,BRENTWOOD MEADOWS LLC,4488 ROSLIN RD,NEWBURGH,IN,47630,WARRICK,Hours of physical-restraint use,0.01,1.68,13048,,Hours of seclusion use,0.12,38.4,13048,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),78,581,,Alcohol use brief intervention provided or offered,98,223,,98,219,,Alcohol and other drug use disorder treatment provided or offered at discharge,94,365,,92,365,,Tobacco use treatment provided or offered,89,412,,8,380,,Tobacco use treatment provided or offered at discharge,93,332,,1,332,,Transition record with specified elements received by discharged patients (TR1),90,589,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.2,66,,48.5,66,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,140,17.7,13.7,22.6,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),87,291,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),3.9,173,,10/01/2023,12/31/2023
154056,EVANSVILLE STATE HOSPITAL,3400 LINCOLN AVENUE,EVANSVILLE,IN,47714,VANDERBURGH,Hours of physical-restraint use,0.14,147.15,43534,,Hours of seclusion use,0.02,16,43534,,Patients discharged on multiple antipsychotic medications with appropriate justification,91,22,,Screening for metabolic disorders (SMD),93,30,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),50,56,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,1,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),6.6,271,,10/01/2023,12/31/2023
154057,OPTIONS BEHAVIORAL HEALTH SYSTEM,5602 CAITO DRIVE,INDIANAPOLIS,IN,46226,MARION,Hours of physical-restraint use,0.05,35.25,32093,,Hours of seclusion use,0.00,0,32093,,Patients discharged on multiple antipsychotic medications with appropriate justification,21,14,,Screening for metabolic disorders (SMD),14,463,,Alcohol use brief intervention provided or offered,89,124,,22,120,,Alcohol and other drug use disorder treatment provided or offered at discharge,74,229,,39,229,,Tobacco use treatment provided or offered,91,426,,2,413,,Tobacco use treatment provided or offered at discharge,78,405,,0,405,,Transition record with specified elements received by discharged patients (TR1),49,882,,01/01/2022,12/31/2022,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,49.6,137,,26.3,137,,07/01/2021,06/30/2022,Medication Continuation Following Inpatient Psychiatric Discharge,75.7,334,,07/01/2020,06/30/2022,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,360,22.9,19.6,26.3,,07/01/2020,06/30/2022,Influenza immunization (IPFQR-IMM-2),67,410,,10/01/2022,03/31/2023,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),1.5,173,,10/01/2023,12/31/2023
